Name,RA,Dec,Con,OT,Mag,Other
VdB 127,296.846900,18.534300,SGE,RN,3.82,SB=F; Spect=M2II+B; Color=R; Type=II P
VdB 128,301.150700,32.218600,CYG,RN,5.63,SB=M; Spect=B1.5IA; Color=I; Type=I
VdB 129,302.826200,-0.821500,AQL,RN,3.24,SB=F; Spect=B9.5III; Color=MB; Type=II
VdB 130,304.425000,39.350000,CYG,RN,9.50,SB=BR; Spect=B; Color=R; Type=I
VdB 131,306.065500,42.300400,CYG,RN,9.10,SB=BR; Spect=B7; Color=VB; Type=I
VdB 132,306.194300,42.384800,CYG,RN,8.70,SB=BR; Spect=B6; Color=VB; Type=I
VdB 133,307.746800,36.935800,CYG,RN,6.19,SB=BR; Spect=F5IAB; Color=MB; Type=I
VdB 134,307.514800,48.951600,CYG,RN,4.95,SB=F; Spect=B2V; Color=B; Type=I-II
VdB 135,309.190000,32.454600,CYG,RN,8.60,SB=F; Color=MR; Type=II
VdB 136,309.571600,42.073700,CYG,RN,7.80,SB=VF; Spect=K3II; Color=R; Type=II
VdB 137,313.957500,47.417700,CYG,RN,5.69,SB=VBR; Spect=B8IA; Color=VB; Type=II
VdB 138,314.319100,48.295800,CYG,RN,8.28,SB=F; Spect=B8IB; Color=B; Type=I
VdB 139,315.403800,68.163300,CEP,RN,6.80,SB=VBR; Spect=B5E; Color=B; Type=I
VdB 140,319.328300,58.611500,CEP,RN,6.41,SB=M; Spect=B2IIIE; Color=VB; Type=I-II
VdB 141,319.109700,68.260200,CEP,RN,9.40,SB=F; Color=R; Type=I
VdB 142,324.171000,57.502300,CEP,RN,8.80,SB=M; Spect=B3; Color=B; Type=I
VdB 143,324.237700,68.185400,CEP,RN,8.30,SB=BR; Spect=AO; Color=VB; Type=I
VdB 144,325.180400,54.872100,CYG,RN,6.00,SB=VF; Spect=KOIII; Color=I  :; Type=I
VdB 145,325.904900,48.883800,CYG,RN,7.40,SB=M  :; Spect=F2; Color=MB :; Type=I
VdB 146,325.700000,66.116700,CEP,RN,9.40,SB=BR; Color=B; Type=I
VdB 147,328.142100,47.228800,CYG,RN,9.50,SB=M; Color=B; Type=I
VdB 148,331.820800,56.234000,CEP,RN,8.70,SB=F; Spect=F2; Color=B; Type=II
VdB 149,332.285400,72.884700,CEP,RN,9.10,SB=M; Color=VB; Type=I
