Name,RA,Dec,Con,OT,Other
WBL 090,44.410600,6.000000,CET,G+,Rich=3; z=0.02327
WBL 091,44.582500,25.432800,ARI,G+,Rich=3; z=0.03484
WBL 092,46.987500,-0.792300,CET,G+,Rich=3; z=0.02156
WBL 093,47.785700,35.388400,PER,G+,Rich=3; z=0.02011
WBL 094,49.023400,37.150700,PER,G+,Rich=3; z=0.02110
WBL 095,49.408800,-1.767700,ERI,G+,Rich=3; z=0.02757
WBL 096,49.414800,-0.117700,CET,G+,Rich=4; z=0.02347
WBL 097,49.802100,41.514500,PER,G+,Rich=33; z=0.01733
WBL 098,50.082600,-2.070200,ERI,G+,Rich=3; z=0.02973
WBL 099,50.186400,-1.037200,CET,G+,Rich=4; z=0.02116
WBL 100,50.683000,-1.955700,ERI,G+,Rich=3; z=0.02744
WBL 101,51.537900,-0.625600,TAU,G+,Rich=3
WBL 102,53.041400,0.302000,TAU,G+,Rich=3; z=0.02715
WBL 103,54.427900,3.213200,TAU,G+,Rich=3; z=0.01926
WBL 104,59.868400,6.691200,TAU,G+,Rich=3; z=0.01902
WBL 105,60.443500,23.172200,TAU,G+,Rich=4; z=0.02268
WBL 106,68.695200,73.254500,CAM,G+,Rich=3; z=0.01408
WBL 107,69.678600,73.300100,CAM,G+,Rich=3
WBL 108,71.480700,-2.110100,ERI,G+,Rich=3; z=0.01482
WBL 109,73.548100,1.647000,ORI,G+,Rich=3; z=0.02967
WBL 110,74.712900,-0.525100,ORI,G+,Rich=5; z=0.01497
WBL 111,77.562000,-0.721900,ORI,G+,Rich=3; z=0.02630
WBL 112,79.146300,6.454000,ORI,G+,Rich=5; z=0.02471
WBL 113,80.047200,6.599700,ORI,G+,Rich=3; z=0.02949
WBL 114,80.481900,3.430900,ORI,G+,Rich=3; z=0.01460
WBL 115,86.466600,69.087100,CAM,G+,Rich=3; z=0.01432
WBL 116,94.305700,66.532200,CAM,G+,Rich=3
WBL 117,97.658700,74.433500,CAM,G+,Rich=3; z=0.01827
WBL 118,100.183400,53.253200,LYN,G+,Rich=3; z=0.03570
WBL 119,100.244600,50.152800,LYN,G+,Rich=3; z=0.01891
WBL 120,101.552900,43.813100,AUR,G+,Rich=3; z=0.02105
WBL 121,101.797000,33.595000,GEM,G+,Rich=3; z=0.01678
WBL 122,102.005500,51.227800,LYN,G+,Rich=3
WBL 123,106.336500,86.617300,CEP,G+,Rich=3; z=0.01549
WBL 124,103.756300,80.972700,CAM,G+,Rich=3
WBL 125,102.496500,25.658300,GEM,G+,Rich=4; z=0.01639
WBL 126,102.720600,33.474000,GEM,G+,Rich=5; z=0.01690
WBL 127,103.643400,50.386600,LYN,G+,Rich=3; z=0.01959
WBL 128,106.142300,64.042100,CAM,G+,Rich=5; z=0.01500
WBL 129,106.235200,54.024500,LYN,G+,Rich=3
WBL 130,106.781300,44.805100,LYN,G+,Rich=3; z=0.01945
WBL 131,107.268500,48.619600,LYN,G+,Rich=6; z=0.01942
WBL 132,108.025000,71.783900,CAM,G+,Rich=3; z=0.01034
WBL 133,107.683900,50.084300,LYN,G+,Rich=13; z=0.01996
WBL 134,111.201500,85.758900,CEP,G+,Rich=6; z=0.00804
WBL 135,107.861000,39.649900,AUR,G+,Rich=3
WBL 136,107.826600,31.183300,GEM,G+,Rich=3
WBL 137,108.643700,54.980000,LYN,G+,Rich=6
WBL 138,110.475600,55.755000,LYN,G+,Rich=4; z=0.04040
WBL 139,110.693500,21.470000,GEM,G+,Rich=3
WBL 140,111.331100,19.150400,GEM,G+,Rich=3; z=0.02305
WBL 141,111.739500,33.798700,GEM,G+,Rich=3; z=0.02609
WBL 142,112.239100,33.829800,GEM,G+,Rich=3; z=0.01350
WBL 143,112.775700,13.093800,GEM,G+,Rich=4; z=0.02865
WBL 144,112.976000,18.326300,GEM,G+,Rich=3
WBL 145,113.893400,11.638800,CMI,G+,Rich=4; z=0.01678
WBL 146,114.571500,59.403300,LYN,G+,Rich=4
WBL 147,114.260300,9.903800,CMI,G+,Rich=3; z=0.02956
WBL 148,114.985600,49.301200,LYN,G+,Rich=3; z=0.02085
WBL 149,115.025500,32.234000,GEM,G+,Rich=3
WBL 150,116.527300,57.044600,LYN,G+,Rich=3
WBL 151,116.831800,58.993300,LYN,G+,Rich=3; z=0.02710
WBL 152,116.817500,26.926100,GEM,G+,Rich=4; z=0.01591
WBL 153,117.654900,74.340800,CAM,G+,Rich=3; z=0.01314
WBL 154,117.837800,50.188700,LYN,G+,Rich=3; z=0.02155
WBL 155,117.968900,27.421100,GEM,G+,Rich=4; z=0.02636
WBL 156,117.933800,9.871100,CMI,G+,Rich=3
WBL 157,118.279600,8.952900,CMI,G+,Rich=3
WBL 158,118.675100,55.618600,LYN,G+,Rich=4; z=0.01787
WBL 159,118.753800,14.417600,GEM,G+,Rich=4
WBL 160,118.965000,26.900200,GEM,G+,Rich=6; z=0.01867
WBL 161,119.462000,56.681900,LYN,G+,Rich=4; z=0.01964
WBL 162,119.698500,59.147600,LYN,G+,Rich=3; z=0.01995
WBL 163,119.625300,8.063800,CMI,G+,Rich=6; z=0.03188
WBL 164,120.092800,39.828900,LYN,G+,Rich=3; z=0.02791
WBL 165,120.037500,26.678900,GEM,G+,Rich=7; z=0.02665
WBL 166,120.482400,56.610900,LYN,G+,Rich=3; z=0.02868
WBL 167,120.536600,56.927400,LYN,G+,Rich=3; z=0.02726
WBL 168,120.334900,26.261000,CNC,G+,Rich=3
WBL 169,120.556200,9.509900,CMI,G+,Rich=9; z=0.01558
WBL 170,120.933000,9.975000,CNC,G+,Rich=5; z=0.03371
WBL 171,121.168200,40.191000,LYN,G+,Rich=4; z=0.04070
