Name,RA,Dec,Con,OT,Diam,Mag,Other
NGC 6124,246.332,-40.661,SCO,OC,48.12,5.80,N=1327; d=630
NGC 6134,246.953,-49.161,NOR,OC,18.72,7.20,N=821; d=1143
NGC 6152,248.213,-52.629,NOR,OC,18.0,8.10,N=202; d=1606; 3-3-r-*
NGC 6167,248.662,-49.759,NOR,OC,10.2,6.70,N=241; d=1467
NGC 6178,248.939,-45.635,SCO,OC,9.6,7.20,N=45; d=886
NGC 6192,250.077,-43.355,SCO,OC,10.08,8.50,N=531; d=1667
NGC 6193,250.319,-48.777,ARA,OC,18.72,5.20,N=465; d=1189
NGC 6204,251.538,-47.027,ARA,OC,7.32,8.20,N=223; d=1198
NGC 6208,252.336,-53.714,ARA,OC,19.44,7.20,N=345; d=1164
NGC 6216,252.335,-44.721,SCO,OC,6.84,10.10,N=181; d=2525
NGC 6231,253.545,-41.812,SCO,OC,17.64,2.60,N=653; d=1617
NGC 6242,253.878,-39.474,SCO,OC,12.48,6.40,N=523; d=1275
NGC 6249,254.445,-44.815,SCO,OC,4.92,8.20,N=60; d=1224
NGC 6250,254.497,-45.951,ARA,OC,12.6,5.90,N=85; d=983
NGC 6253,254.778,-52.712,ARA,OC,7.2,10.20,N=413; d=1689
NGC 6259,255.195,-44.678,SCO,OC,17.28,8.00,N=982; d=2291
NGC 6268,255.524,-39.721,SCO,OC,9.6,9.50,N=123; d=1508
NGC 6281,256.179,-37.948,SCO,OC,31.08,5.40,N=513; d=525
NGC 6318,259.044,-39.424,SCO,OC,5.4,11.80,N=183; d=2277
NGC 6322,259.625,-42.937,SCO,OC,7.92,6.00,N=70; d=1321
NGC 6357,261.185,-34.203,SCO,OC,6.24,nan,N=105; d=1677; 3-3-vp-n
NGC 637,25.775,64.038,CAS,OC,3.6,8.20,N=77; d=2727
NGC 6383,263.673,-32.573,SCO,OC,9.84,5.50,N=268; d=1109
NGC 6396,264.399,-35.013,SCO,OC,3.48,8.50,N=72; d=2620
NGC 6400,265.062,-36.957,SCO,OC,11.52,8.80,N=202; d=1210; 2-2-m-*
NGC 6404,264.916,-33.224,SCO,OC,7.32,10.60,N=282; d=2603; 3-2-m-*
NGC 6405,265.069,-32.242,SCO,OC,33.0,nan,N=583; d=454
NGC 6416,266.014,-32.344,SCO,OC,28.92,5.70,N=277; d=1051
NGC 6425,266.733,-31.507,SCO,OC,13.68,7.20,N=141; d=984
NGC 6451,267.675,-30.206,SCO,OC,9.36,8.20,N=233; d=3002
NGC 6469,268.277,-22.3,SGR,OC,7.32,8.20,N=57; d=1623; 4-2-m-*
NGC 6475,268.447,-34.841,SCO,OC,100.08,nan,N=941; d=277
NGC 6494,269.237,-18.987,SGR,OC,35.04,nan,N=789; d=723
NGC 6520,270.856,-27.884,SGR,OC,3.36,7.60,N=77; d=1707
NGC 6531,271.036,-22.505,SGR,OC,14.16,nan,N=219; d=1209
NGC 654,26.008,61.883,CAS,OC,6.36,6.50,N=361; d=2923
NGC 6561,272.659,-16.74,SGR,OC,9.84,nan,N=78; d=1462
NGC 6568,273.192,-21.612,SGR,OC,16.8,8.60,N=166; d=1036; 4-1-m-*
NGC 6583,273.962,-22.143,SGR,OC,5.52,10.00,N=192; d=2262; 1-2-m-*
NGC 659,26.108,60.679,CAS,OC,7.68,7.90,N=155; d=3169
NGC 6603,274.616,-18.409,SGR,OC,4.8,11.10,N=492; d=2831
NGC 6611,274.688,-13.792,SER,OC,7.56,6.00,N=385; d=1680
NGC 6613,274.989,-17.089,SGR,OC,6.96,nan,N=49; d=1494
NGC 663,26.586,61.212,CAS,OC,18.0,7.10,N=623; d=2865
NGC 6631,276.79,-12.029,SCT,OC,5.88,11.70,N=109; d=2791; 2-1-m-*
NGC 6633,276.845,6.615,OPH,OC,43.2,4.60,N=187; d=391
NGC 6645,278.158,-16.918,SGR,OC,14.52,8.50,N=362; d=1749; 4-1-m-*
NGC 6649,278.359,-10.399,SCT,OC,6.84,8.90,N=560; d=2016
NGC 6664,279.125,-8.194,SCT,OC,12.24,7.80,N=237; d=2011
NGC 6694,281.317,-9.386,SCT,OC,7.08,nan,N=203; d=1809
NGC 6704,282.687,-5.203,SCT,OC,4.44,9.20,N=145; d=2158
NGC 6705,282.766,-6.272,SCT,OC,8.88,nan,N=1409; d=2195
NGC 6709,282.836,10.334,AQL,OC,16.8,6.70,N=274; d=1064
NGC 6716,283.616,-19.888,SGR,OC,11.88,7.50,N=86; d=697
NGC 6728,284.715,-8.953,AQL,OC,15.36,nan,N=231; d=1770
NGC 6735,285.155,-0.498,AQL,OC,12.6,nan,N=169; d=2247
NGC 6755,286.942,4.224,AQL,OC,10.56,7.50,N=282; d=2471
NGC 6756,287.181,4.711,AQL,OC,3.36,10.60,N=267; d=3220
NGC 6791,290.221,37.778,LYR,OC,8.16,9.50,N=1654; d=4530
NGC 6793,290.817,22.159,VUL,OC,27.24,nan,N=190; d=588; 3-2-p-*
NGC 6800,291.664,25.008,VUL,OC,21.6,nan,N=36; d=1018; 4-1-p-*
NGC 6802,292.651,20.262,VUL,OC,5.76,8.80,N=386; d=2957
NGC 6811,294.34,46.378,CYG,OC,22.8,6.80,N=306; d=1112
NGC 6819,295.327,40.19,CYG,OC,11.4,7.30,N=1589; d=2599
NGC 6823,295.794,23.321,VUL,OC,8.88,7.10,N=158; d=2103
NGC 6827,297.22,21.213,VUL,OC,2.52,nan,N=135; d=7594; 2-2-m-*
NGC 6830,297.718,23.101,VUL,OC,8.4,7.90,N=123; d=2207
NGC 6834,298.052,29.399,CYG,OC,6.0,7.80,N=260; d=3326
NGC 6846,299.112,32.349,CYG,OC,2.52,14.20,N=70; d=8500; 4-1-p-*
NGC 6866,300.983,44.158,CYG,OC,12.48,7.60,N=104; d=1398
NGC 6871,301.548,35.765,CYG,OC,44.52,5.20,N=594; d=1841
NGC 6910,305.797,40.771,CYG,OC,10.68,7.40,N=159; d=1741
NGC 6913,305.943,38.487,CYG,OC,12.72,nan,N=89; d=1718
NGC 6939,307.917,60.653,CEP,OC,14.76,7.80,N=661; d=1868
NGC 6940,308.626,28.278,VUL,OC,30.0,6.30,N=593; d=1024
NGC 6991,313.621,47.4,CYG,OC,66.6,nan,N=251; d=557; 3-3-p-n
NGC 6997,314.128,44.64,CYG,OC,12.12,10.00,N=138; d=865
NGC 7024,316.524,41.498,CYG,OC,9.0,nan,N=35; d=1182
NGC 7031,316.809,50.87,CYG,OC,14.16,9.10,N=171; d=1364
NGC 7039,317.663,45.597,CYG,OC,17.28,7.60,N=119; d=756
NGC 7044,318.284,42.494,CYG,OC,5.76,12.00,N=683; d=3315
NGC 7058,320.448,50.822,CYG,OC,13.08,nan,N=33; d=362
NGC 7062,320.862,46.385,CYG,OC,5.76,8.30,N=113; d=2343
NGC 7063,321.122,36.507,CYG,OC,14.4,7.00,N=67; d=664
NGC 7067,321.058,48.012,CYG,OC,3.72,9.70,N=68; d=5500
NGC 7082,322.186,47.103,CYG,OC,23.4,7.20,N=315; d=1319
NGC 7086,322.624,51.593,CYG,OC,14.4,8.40,N=622; d=1616
NGC 7092,322.889,48.247,CYG,OC,120.36,nan,N=161; d=297
NGC 7128,325.991,53.715,CYG,OC,3.6,9.70,N=180; d=3452
NGC 7129,325.74,66.114,CEP,OC,5.04,11.50,N=36; d=896; 4-2-p-n
NGC 7142,326.29,65.782,CEP,OC,12.24,9.30,N=401; d=2376
NGC 7160,328.448,62.589,CEP,OC,9.0,6.10,N=47; d=926
NGC 7209,331.224,46.508,LAC,OC,36.48,7.70,N=311; d=1177
NGC 7226,332.605,55.398,CEP,OC,2.28,9.60,N=51; d=4680
NGC 7235,333.083,57.271,CEP,OC,8.4,nan,N=207; d=3467
NGC 7243,333.788,49.83,LAC,OC,30.6,6.40,N=313; d=873
NGC 7245,333.812,54.336,LAC,OC,7.32,9.20,N=267; d=3307
NGC 7261,335.056,58.128,CEP,OC,6.12,8.40,N=93; d=3261
NGC 7281,336.259,57.869,CEP,OC,16.56,nan,N=57; d=2171; 4-2-p-*
NGC 7296,337.0,52.321,LAC,OC,6.36,9.70,N=77; d=2355
NGC 7380,341.817,58.125,CEP,OC,10.8,7.20,N=120; d=2765
NGC 7419,343.579,60.814,CEP,OC,5.04,13.00,N=331; d=3235
NGC 7423,343.789,57.096,CEP,OC,3.84,nan,N=147; d=3733; 3-3-m-*
NGC 743,29.614,60.13,CAS,OC,14.76,nan,N=62; d=1099; 4-1-p-*
NGC 744,29.652,55.473,PER,OC,8.88,7.90,N=83; d=1319
NGC 7510,347.767,60.579,CEP,OC,6.6,7.90,N=324; d=3177
NGC 752,29.223,37.794,AND,OC,58.2,5.70,N=240; d=441
NGC 7654,351.195,61.59,CAS,OC,15.96,nan,N=1010; d=1600
NGC 7762,357.472,68.035,CEP,OC,20.4,10.00,N=431; d=969
NGC 7788,359.179,61.395,CAS,OC,5.4,9.40,N=154; d=3039
NGC 7789,359.334,56.726,CAS,OC,25.32,6.70,N=3019; d=2074
NGC 7790,359.613,61.21,CAS,OC,7.08,8.50,N=200; d=3359
NGC 869,34.741,57.134,PER,OC,16.32,5.30,N=720; d=2336
NGC 884,35.584,57.149,PER,OC,15.0,6.10,N=483; d=2341
NGC 957,38.343,57.553,PER,OC,15.6,7.60,N=160; d=2302
Negueruela 1,356.849,63.219,CAS,OC,2.64,nan,N=53; d=3140
Patchick 3,79.12,45.584,AUR,OC,7.32,nan,N=45; d=1693
Patchick 75,303.758,33.925,CYG,OC,1.8,nan,N=26; d=7054
Patchick 90,101.181,-0.532,MON,OC,2.52,nan,N=24; d=6463
Patchick 94,247.397,-47.31,NOR,OC,1.92,nan,N=34; d=4227
Pfleiderer 3,346.995,60.874,CEP,OC,6.48,nan,N=32; d=9750; 3-2-p-*
Pismis 1,124.58,-37.102,PUP,OC,3.0,nan,N=66; d=5739
Pismis 11,138.974,-50.006,VEL,OC,1.68,nan,N=47; d=2751
Pismis 12,140.007,-45.131,VEL,OC,6.36,nan,N=200; d=2173; 3-2-p-*
Pismis 15,143.684,-48.04,VEL,OC,4.56,nan,N=132; d=2610; 2-1-p-*
Pismis 16,147.812,-53.172,VEL,OC,1.08,nan,N=5; d=2598
Pismis 17,165.377,-59.873,CAR,OC,6.0,nan,N=33; d=2534
Pismis 18,204.227,-62.091,CEN,OC,5.76,nan,N=261; d=2768
Pismis 19,217.666,-60.889,CEN,OC,4.2,nan,N=453; d=3516
Pismis 2,124.477,-41.674,PUP,OC,3.12,nan,N=206; d=4000
Pismis 20,228.848,-59.073,CIR,OC,5.52,nan,N=116; d=3127
Pismis 21,229.199,-59.659,CIR,OC,4.8,nan,N=113; d=3135; 1-3-p-*
Pismis 22,243.552,-51.869,NOR,OC,3.12,nan,N=63; d=7651
Pismis 23,245.99,-48.891,NOR,OC,1.32,nan,N=77; d=5132
Pismis 27,92.719,20.617,ORI,OC,6.12,nan,N=40; d=1876; 4-2-vp-n
Pismis 3,127.834,-38.64,VEL,OC,13.56,nan,N=1047; d=2316
Pismis 4,128.79,-44.407,VEL,OC,34.92,nan,N=113; d=692
Pismis 5,129.407,-39.603,VEL,OC,14.88,nan,N=92; d=947
Pismis 7,130.287,-38.699,VEL,OC,4.08,nan,N=120; d=5571; 2-1-p-*
Pismis 8,130.407,-46.272,VEL,OC,4.08,nan,N=54; d=1832
Pismis Moreno 1,334.695,63.251,CEP,OC,9.0,nan,N=63; d=926; 3-3-m-n
Platais 10,205.22,-59.271,CEN,OC,58.2,nan,N=21; d=238
Platais 3,69.976,71.28,CAM,OC,206.76,nan,N=90; d=177
Platais 8,136.718,-58.685,CAR,OC,325.92,nan,N=211; d=134
Platais 9,139.241,-43.862,VEL,OC,191.4,nan,N=128; d=181
Pozzo 1,122.374,-47.335,VEL,OC,75.0,nan,N=390; d=346
RSG 1,75.508,37.475,AUR,OC,74.52,nan,N=99; d=330
RSG 5,303.482,45.574,CYG,OC,104.04,nan,N=173; d=336
RSG 7,344.19,59.363,CEP,OC,99.12,nan,N=133; d=422
RSG 8,344.983,59.371,CAS,OC,121.8,nan,N=211; d=446
Riddle 4,31.862,60.26,CAS,OC,4.44,nan,N=53; d=2719
Roslund 2,296.261,23.977,VUL,OC,19.2,nan,N=134; d=2031; 4-2-p-n
Roslund 3,299.695,20.509,SGE,OC,9.72,nan,N=112; d=1629
Roslund 4,301.199,29.196,VUL,OC,7.32,nan,N=50; d=2211
Roslund 5,302.641,33.751,CYG,OC,45.36,nan,N=164; d=537
Roslund 6,307.185,39.798,CYG,OC,120.48,nan,N=249; d=352; 4-3-m-n
Roslund 7,313.196,37.847,CYG,OC,55.2,nan,N=151; d=1236; 4-2-p-*
Ruprecht 1,99.084,-14.157,CMA,OC,15.12,nan,N=129; d=1514; 3-1-p-*
Ruprecht 10,106.626,-20.125,CMA,OC,5.64,nan,N=30; d=2153; 4-2-p-*
Ruprecht 100,181.52,-62.624,CRU,OC,5.64,nan,N=67; d=3550; 4-1-m-*
Ruprecht 101,182.398,-62.995,CRU,OC,9.96,nan,N=308; d=3318; 4-1-r-*
Ruprecht 102,183.393,-62.719,CRU,OC,3.84,nan,N=51; d=2997; 4-1-p-*
Ruprecht 105,188.694,-61.592,CRU,OC,12.72,nan,N=54; d=2046; 3-2-p-*
Ruprecht 107,199.937,-64.944,MUS,OC,3.96,nan,N=62; d=3755
Ruprecht 108,203.002,-58.509,CEN,OC,12.72,nan,N=44; d=994
Ruprecht 111,219.01,-59.975,CEN,OC,10.68,nan,N=146; d=1439; 3-1-m-*
Ruprecht 112,224.256,-62.56,CIR,OC,13.56,nan,N=424; d=2849; 3-1-r-*
Ruprecht 115,243.215,-52.393,NOR,OC,6.24,nan,N=122; d=2529
Ruprecht 117,245.888,-51.879,NOR,OC,6.72,nan,N=100; d=3275; 3-1-p-*
Ruprecht 119,247.039,-51.5,NOR,OC,11.28,nan,N=112; d=2163
Ruprecht 121,250.436,-46.159,ARA,OC,12.12,nan,N=396; d=2036; 3-3-m-*
Ruprecht 126,263.783,-34.306,SCO,OC,6.12,nan,N=91; d=3654; 4-2-p-*
Ruprecht 127,264.462,-36.309,SCO,OC,7.32,nan,N=78; d=2414
Ruprecht 128,266.063,-34.879,SCO,OC,6.84,nan,N=197; d=1898; 4-1-m-*
Ruprecht 130,266.9,-30.098,SCO,OC,4.44,nan,N=54; d=2394
Ruprecht 134,268.184,-29.537,SGR,OC,6.6,nan,N=118; d=2379; 2-1-m-n
Ruprecht 135,269.511,-11.646,SER,OC,8.64,nan,N=56; d=1075; 4-2-p-*
Ruprecht 138,269.984,-24.665,SGR,OC,6.84,nan,N=121; d=2514; 4-1-p-*
Ruprecht 143,278.174,-12.148,SCT,OC,5.4,nan,N=106; d=2842; 4-1-m-*
Ruprecht 144,278.437,-11.425,SCT,OC,18.0,nan,N=58; d=1711; 4-1-p-*
Ruprecht 145,282.636,-18.27,SGR,OC,39.6,nan,N=229; d=595; 3-1-m-*
Ruprecht 147,289.087,-16.333,SGR,OC,78.24,nan,N=174; d=305; 4-2-p-*
Ruprecht 148,71.638,44.711,PER,OC,5.16,nan,N=45; d=3461
Ruprecht 151,115.315,-16.279,PUP,OC,13.56,nan,N=41; d=1115; 4-2-m-*
Ruprecht 16,110.798,-19.48,CMA,OC,8.52,nan,N=62; d=3001; 4-1-p-*
Ruprecht 161,152.4,-61.259,CAR,OC,45.24,nan,N=83; d=897; 3-2-p-*
Ruprecht 164,172.616,-60.752,CEN,OC,5.28,nan,N=159; d=4475; 4-1-m-*
Ruprecht 167,215.15,-58.858,CEN,OC,21.48,nan,N=89; d=1556; 3-2-m-*
Ruprecht 170,276.335,-9.995,SCT,OC,8.52,nan,N=96; d=2033; 4-1-m-*
Ruprecht 171,278.012,-16.062,SGR,OC,13.56,nan,N=739; d=1540; 3-1-r-*
Ruprecht 172,302.888,35.603,CYG,OC,4.92,nan,N=96; d=3473; 3-2-p-n
Ruprecht 174,310.856,37.031,CYG,OC,7.92,nan,N=94; d=2343; 4-1-p-*
Ruprecht 176,243.676,-51.332,NOR,OC,4.68,nan,N=130; d=2749; 3-2-m-*
Ruprecht 18,111.16,-26.213,CMA,OC,10.2,nan,N=229; d=2544
Ruprecht 19,111.48,-21.844,CMA,OC,16.08,nan,N=51; d=1413; 4-2-p-*
Ruprecht 23,112.665,-23.383,PUP,OC,10.32,nan,N=127; d=2702; 3-2-p-*
Ruprecht 24,112.964,-12.785,PUP,OC,6.12,nan,N=14; d=1954; 4-1-p-*
Ruprecht 25,114.192,-23.387,PUP,OC,1.8,nan,N=33; d=6567; 2-2-p-*
Ruprecht 26,114.271,-15.587,PUP,OC,22.44,nan,N=81; d=1050; 4-2-p-*
Ruprecht 27,114.423,-26.516,PUP,OC,10.08,nan,N=128; d=2009; 4-2-m-*
Ruprecht 28,114.9,-30.933,PUP,OC,5.76,nan,N=133; d=4398; 4-1-p-*
Ruprecht 29,115.279,-24.377,PUP,OC,7.08,nan,N=37; d=2131; 4-2-p-*
Ruprecht 32,116.3,-25.539,PUP,OC,5.16,nan,N=17; d=4761
Ruprecht 33,116.445,-21.915,PUP,OC,10.2,nan,N=60; d=2244; 4-1-p-*
Ruprecht 34,116.478,-20.386,PUP,OC,8.16,nan,N=64; d=2593; 2-3-m-*
Ruprecht 35,116.548,-31.278,PUP,OC,4.56,nan,N=50; d=3679; 2-2-p-*
Ruprecht 36,117.096,-26.287,PUP,OC,5.4,nan,N=71; d=2709
Ruprecht 37,117.452,-17.249,PUP,OC,3.12,nan,N=83; d=4463; 3-2-p-*
Ruprecht 4,102.248,-10.524,MON,OC,4.44,nan,N=63; d=4123; 3-2-m-*
Ruprecht 41,118.443,-26.992,PUP,OC,7.68,nan,N=70; d=4469; 4-2-p-*
Ruprecht 42,119.407,-25.92,PUP,OC,3.6,nan,N=68; d=6684; 3-2-p-*
Ruprecht 43,119.697,-28.805,PUP,OC,3.84,nan,N=7; d=7460; 4-1-p-*
Ruprecht 44,119.708,-28.558,PUP,OC,4.56,nan,N=82; d=5536
Ruprecht 45,119.894,-16.292,PUP,OC,8.52,nan,N=128; d=4518; 4-2-p-*
Ruprecht 47,120.57,-31.074,PUP,OC,5.04,nan,N=65; d=3799
Ruprecht 48,120.681,-32.045,PUP,OC,2.76,nan,N=77; d=3784; 2-2-p-*
Ruprecht 50,120.872,-30.873,PUP,OC,4.56,nan,N=48; d=2259; 3-2-p-*
Ruprecht 54,122.844,-31.947,PUP,OC,4.32,nan,N=91; d=4495; 2-2-p-*
Ruprecht 58,123.71,-31.938,PUP,OC,5.52,nan,N=146; d=3385; 4-2-p-*
Ruprecht 60,126.105,-47.207,VEL,OC,4.8,nan,N=135; d=4648; 3-2-m-*
Ruprecht 61,126.327,-34.135,PUP,OC,3.6,nan,N=34; d=3329; 2-2-p-*
Ruprecht 63,128.169,-48.304,VEL,OC,7.56,nan,N=107; d=4086; 2-3-p-*
Ruprecht 66,130.142,-38.071,VEL,OC,4.92,nan,N=141; d=3992; 2-1-p-*
Ruprecht 67,130.464,-43.363,VEL,OC,6.96,nan,N=60; d=1532
Ruprecht 68,131.147,-35.9,PYX,OC,8.88,nan,N=352; d=3026; 3-1-r-*
Ruprecht 71,132.316,-46.875,VEL,OC,7.08,nan,N=49; d=1941; 3-2-p-*
Ruprecht 75,140.486,-56.314,VEL,OC,2.64,nan,N=55; d=4335; 2-2-p-*
Ruprecht 76,141.077,-51.651,VEL,OC,6.84,nan,N=42; d=2021
Ruprecht 77,141.821,-55.119,VEL,OC,5.4,nan,N=23; d=3686
Ruprecht 78,142.282,-53.696,VEL,OC,4.32,nan,N=102; d=7955
Ruprecht 79,145.259,-53.846,VEL,OC,6.24,nan,N=178; d=4003
Ruprecht 82,146.421,-54.004,VEL,OC,7.56,nan,N=109; d=2177
Ruprecht 83,147.307,-54.611,VEL,OC,3.6,nan,N=103; d=4059
Ruprecht 84,147.281,-65.259,CAR,OC,7.2,nan,N=75; d=1924; 3-1-p-*
Ruprecht 85,150.36,-55.109,VEL,OC,4.08,nan,N=138; d=5041; 2-2-p-*
Ruprecht 91,161.964,-57.483,CAR,OC,27.6,nan,N=214; d=1046; 3-3-vp-
Ruprecht 93,166.037,-61.372,CAR,OC,8.88,nan,N=97; d=2148
Ruprecht 94,172.772,-63.426,CEN,OC,25.56,nan,N=71; d=2511; 3-2-r-*
Ruprecht 96,177.67,-62.14,CEN,OC,5.88,nan,N=116; d=3349; 4-1-p-*
Ruprecht 97,179.369,-62.708,CRU,OC,3.6,nan,N=47; d=4396
Ruprecht 98,179.715,-64.581,CRU,OC,100.2,nan,N=111; d=482
SAI 108,144.729,-52.947,VEL,OC,5.88,nan,N=50; d=3486
SAI 109,145.902,-50.797,VEL,OC,5.28,nan,N=86; d=8073
SAI 113,155.685,-59.51,CAR,OC,3.72,nan,N=79; d=4801
SAI 116,177.324,-62.226,CEN,OC,5.76,nan,N=168; d=4259
SAI 118,205.811,-63.146,CEN,OC,10.56,nan,N=122; d=1840
SAI 132,299.248,31.609,CYG,OC,8.4,nan,N=175; d=3263
SAI 14,21.504,62.624,CAS,OC,4.32,nan,N=45; d=3859
SAI 149,354.506,60.541,CAS,OC,5.16,nan,N=32; d=3000
SAI 16,31.366,62.265,CAS,OC,7.2,nan,N=44; d=5367
SAI 17,35.218,59.188,CAS,OC,3.12,nan,N=34; d=5661
SAI 24,44.816,60.566,CAS,OC,13.32,nan,N=111; d=2103
SAI 25,45.109,57.307,PER,OC,13.8,nan,N=38; d=2494
SAI 4,5.895,62.712,CAS,OC,5.88,nan,N=51; d=2912
SAI 47,81.0,42.315,AUR,OC,2.52,nan,N=18; d=4616
SAI 72,103.973,0.232,MON,OC,4.2,nan,N=10; d=3696
SAI 81,118.036,-28.12,PUP,OC,6.72,nan,N=77; d=4178
SAI 86,122.055,-36.606,PUP,OC,4.56,nan,N=90; d=4025
SAI 91,129.243,-50.045,VEL,OC,5.88,nan,N=69; d=3571
SAI 94,131.171,-46.292,VEL,OC,5.4,nan,N=65; d=4298
Saurer 2,126.366,-39.64,PUP,OC,3.12,nan,N=42; d=7255
Schuster 1,151.159,-55.857,VEL,OC,2.88,nan,N=20; d=5951
Sher 1,165.262,-60.233,CAR,OC,1.56,nan,N=37; d=7214
Shorlin 1,166.443,-61.231,CAR,OC,1.68,nan,N=7; d=8889
Skiff J0058+68.4,14.604,68.458,CAS,OC,20.64,nan,N=375; d=2871
Skiff J0458+43.0,74.547,43.036,AUR,OC,8.04,nan,N=25; d=2436
Skiff J0507+30.8,76.78,30.846,AUR,OC,9.0,nan,N=100; d=4992
Skiff J0614+12.9,93.691,12.87,ORI,OC,3.12,nan,N=57; d=3601; 3-2-m-*
Skiff J0619+18.5,94.829,18.546,ORI,OC,18.84,nan,N=26; d=1485
Skiff J1942+38.6,295.611,38.645,CYG,OC,5.16,nan,N=66; d=2493
Skiff J2330+60.2,352.553,60.257,CAS,OC,2.52,nan,N=33; d=3254
Stephenson 1,283.568,36.899,LYR,OC,29.88,nan,N=97; d=356
Stock 1,294.146,25.163,VUL,OC,89.04,nan,N=183; d=403
Stock 10,84.808,37.85,AUR,OC,64.92,nan,N=144; d=358; 4-2-p-*
Stock 12,353.923,52.685,CAS,OC,48.36,nan,N=109; d=436; 4-2-p-*
Stock 14,175.925,-62.537,CEN,OC,9.72,nan,N=46; d=2418
Stock 16,199.86,-62.622,CEN,OC,6.72,nan,N=52; d=3986
Stock 17,355.949,62.161,CAS,OC,1.92,nan,N=13; d=2958
Stock 18,0.399,64.625,CAS,OC,6.84,nan,N=26; d=3100; 4-2-p-*
Stock 2,33.856,59.522,CAS,OC,123.6,nan,N=1190; d=374
Stock 20,6.318,62.624,CAS,OC,5.52,nan,N=50; d=2691; 2-2-p-*
Stock 21,7.59,57.922,CAS,OC,6.24,nan,N=62; d=1854; 4-2-p-*
Stock 23,49.075,60.377,CAM,OC,90.48,nan,N=89; d=609; 2-3-p-n
Stock 24,9.945,61.967,CAS,OC,6.36,nan,N=93; d=2815
Stock 4,28.039,57.055,PER,OC,19.56,nan,N=70; d=1318; 4-1-p-*
Stock 5,31.119,64.365,CAS,OC,23.16,nan,N=115; d=959; 4-2-p-*
Stock 7,37.431,60.627,CAS,OC,33.48,nan,N=141; d=680
Stock 8,81.956,34.452,AUR,OC,18.36,nan,N=348; d=2107
Teutsch 1,84.871,33.347,AUR,OC,1.32,nan,N=34; d=3963
Teutsch 10,86.096,28.828,AUR,OC,5.28,nan,N=74; d=2875
Teutsch 103,142.145,-46.607,VEL,OC,3.84,nan,N=44; d=2596
Teutsch 106,164.836,-59.557,CAR,OC,4.56,nan,N=52; d=7771
Teutsch 11,96.352,13.878,ORI,OC,3.48,nan,N=25; d=4890
Teutsch 12,96.428,13.611,GEM,OC,5.64,nan,N=58; d=3797
Teutsch 125,333.316,58.939,CEP,OC,7.8,nan,N=29; d=2008
Teutsch 126,333.455,55.712,CEP,OC,11.16,nan,N=67; d=2147
Teutsch 127,334.747,56.121,CEP,OC,3.6,nan,N=36; d=3689
Teutsch 13,100.984,1.404,MON,OC,6.6,nan,N=18; d=5431
Teutsch 143a,167.141,-60.741,CAR,OC,3.96,nan,N=115; d=4034
Teutsch 144,320.438,50.595,CYG,OC,12.72,nan,N=78; d=2626
Teutsch 145,280.617,-5.249,SCT,OC,2.28,nan,N=81; d=3419
Teutsch 14a,270.873,-22.12,SGR,OC,5.4,nan,N=60; d=2690
Teutsch 156,315.95,47.215,CYG,OC,4.68,nan,N=131; d=5019
Teutsch 2,85.342,39.237,AUR,OC,6.0,nan,N=90; d=5110
Teutsch 22,315.428,44.114,CYG,OC,3.24,nan,N=96; d=4607
Teutsch 23,356.976,62.996,CAS,OC,5.76,nan,N=37; d=3135
Teutsch 27,294.343,18.7,SGE,OC,1.08,nan,N=20; d=3651
Teutsch 28,307.059,35.103,CYG,OC,6.96,nan,N=65; d=3694
Teutsch 30,306.929,36.074,CYG,OC,3.12,nan,N=31; d=1759
Teutsch 31,163.209,-59.463,CAR,OC,2.4,nan,N=21; d=5751
Teutsch 35,294.091,35.742,CYG,OC,49.68,nan,N=149; d=491
Teutsch 38,131.523,-38.025,VEL,OC,73.8,nan,N=109; d=653
Teutsch 42,292.554,18.535,SGE,OC,0.6,nan,N=14; d=4734
Teutsch 44,155.347,-54.45,VEL,OC,2.88,nan,N=45; d=7737
Teutsch 49,109.596,-17.585,CMA,OC,9.24,nan,N=90; d=2639
Teutsch 50,121.787,-36.057,PUP,OC,2.76,nan,N=19; d=3869
Teutsch 51,88.463,26.834,TAU,OC,4.08,nan,N=89; d=4084
Teutsch 52,82.575,38.244,AUR,OC,7.56,nan,N=18; d=5345
Teutsch 54,341.858,59.781,CEP,OC,3.24,nan,N=31; d=4153
Teutsch 61,113.661,-19.793,PUP,OC,3.36,nan,N=50; d=2952
Teutsch 66,143.368,-52.381,VEL,OC,2.4,nan,N=28; d=4543
Teutsch 7,296.928,24.273,VUL,OC,5.04,nan,N=34; d=4536
Teutsch 74,326.422,58.097,CEP,OC,4.8,nan,N=96; d=4045
Teutsch 8,300.598,35.31,CYG,OC,0.72,nan,N=28; d=1919
Teutsch 80,223.361,-60.478,CIR,OC,4.68,nan,N=119; d=2648
Teutsch 84,256.09,-42.07,SCO,OC,4.2,nan,N=179; d=2297
Teutsch 85,258.309,-39.718,SCO,OC,4.56,nan,N=83; d=5902
Toepler 1,300.318,33.615,CYG,OC,1.92,nan,N=28; d=3558
Tombaugh 1,105.126,-20.569,CMA,OC,6.12,nan,N=213; d=2502
Tombaugh 2,105.773,-20.82,CMA,OC,3.36,nan,N=263; d=9273
Tombaugh 4,37.305,61.787,CAS,OC,6.6,nan,N=174; d=3294; 2-1-m-n
Tombaugh 5,56.984,59.07,CAM,OC,20.4,nan,N=465; d=1695; 3-2-r-*
