Name,RA,Dec,Con,OT,Mag,Diam,Other
VV 492,351.258300,-0.000300,PSC,PG,15.18,0.033,
VV 493,191.029200,45.005600,CVN,PG,15.10,0.025,
VV 494,334.209550,-21.250000,AQR,PG,13.99,0.008,
VV 495,54.966700,-2.113300,ERI,PG,14.90,0.020,Arp 219
VV 496,339.807900,-25.843900,PSA,PG,15.43,0.035,
VV 497,183.235400,52.265300,CVN,PG,14.75,0.030,
VV 498,172.313700,20.578600,LEO,PG,14.02,0.020,
VV 499,128.528300,66.181100,UMA,PG,14.48,0.037,7Zw238
VV 5,356.756650,29.471250,PEG,PG,12.83,0.035,4Zw165;Arp 86
VV 50,139.362100,41.996650,LYN,PG,13.04,0.030,Arp 283
VV 500,299.962500,-31.063300,SGR,PG,nan,nan,
VV 501,249.557500,41.934700,HER,PG,15.50,0.008,1Zw162;Arp 125
VV 502,1.933300,40.875600,AND,PG,15.50,0.020,
VV 503,350.844600,13.318900,PEG,PG,14.73,0.033,
VV 504,197.327500,-24.391400,HYA,PG,14.81,0.030,
VV 505,190.780000,11.211900,VIR,PG,15.25,0.015,
VV 506,243.025400,28.499400,CRB,PG,15.50,0.013,
VV 507,255.172900,53.359200,DRA,PG,15.90,0.025,1Zw171
VV 508,318.483300,2.556700,EQU,PG,15.10,nan,2Zw108
VV 509,20.859600,1.705000,CET,PG,15.50,0.010,1Zw005
VV 51,354.075200,2.156000,PSC,PG,13.00,0.033,Arp 284
VV 510,170.292500,5.363300,LEO,PG,14.25,0.025,
VV 511,186.712900,13.175800,VIR,PG,15.18,0.028,
VV 512,21.912500,12.225000,PSC,PG,15.60,0.015,
VV 513,201.063300,13.936900,VIR,PG,15.60,0.020,
VV 514,160.950000,6.753300,LEO,PG,15.20,0.013,
VV 515,165.185800,29.109700,LMI,PG,16.00,0.013,
VV 516,39.864400,12.681150,ARI,PG,15.70,0.029,3Zw051
VV 517,221.223300,51.340800,BOO,PG,16.00,0.033,1Zw096
VV 518,11.902100,-20.474450,CET,PG,14.42,0.091,
VV 519,132.019600,74.097800,CAM,PG,12.90,0.062,Arp 80
VV 52,145.862500,-5.280000,SEX,PG,13.80,0.025,Arp 253
VV 520,183.660000,5.804700,VIR,PG,13.44,0.107,
VV 521,12.389150,23.582400,AND,PG,15.18,0.033,4Zw032
VV 522,84.838700,-29.373900,COL,PG,15.05,0.037,
VV 523,179.378950,32.336650,UMA,PG,13.50,0.007,
VV 524,75.397500,-4.263900,ERI,PG,15.21,0.022,Arp 259;VV 565
VV 525,36.586700,-9.842200,CET,PG,14.57,0.075,
VV 526,122.362500,5.268300,CMI,PG,14.60,0.035,
VV 527,11.647050,36.328600,AND,PG,13.50,0.026,
VV 528,110.933300,33.444600,GEM,PG,13.70,0.008,
VV 529,161.051700,6.758900,LEO,PG,13.80,0.043,
VV 53,27.230000,10.513350,PSC,PG,13.71,0.022,Arp 228
VV 530,216.056200,-16.723600,LIB,PG,12.56,0.055,
VV 531,44.927100,25.237500,ARI,PG,12.32,0.083,
VV 532,268.529200,30.695000,HER,PG,15.00,0.022,
VV 533,152.533300,54.486700,UMA,PG,14.80,0.019,
VV 534,268.312500,24.573300,HER,PG,14.30,0.030,
VV 535,27.202100,20.265600,ARI,PG,14.50,0.028,
VV 536,237.362500,0.215000,SER,PG,15.10,0.028,
VV 537,272.780800,14.093300,OPH,PG,13.30,0.045,
VV 538,162.355000,32.772500,LMI,PG,14.70,0.033,
VV 539,114.167700,74.448200,CAM,PG,14.73,0.012,
VV 54,27.184600,10.508750,PSC,PG,14.69,0.007,
VV 540,233.738700,23.503300,SER,PG,13.94,0.037,Arp 220;IC 4554
VV 541,136.450000,25.435800,CNC,PG,12.60,0.048,
VV 542,149.190800,28.825800,LEO,PG,14.76,0.068,
VV 543,205.597900,29.824700,CVN,PG,15.20,0.013,
VV 544,175.343700,-6.481400,VIR,PG,13.50,0.043,
VV 545,91.467500,-15.651800,LEP,PG,13.50,0.007,
VV 546,311.251700,-11.104700,AQR,PG,14.50,0.033,
VV 547,145.724800,9.487350,LEO,PG,13.75,0.010,
VV 548,9.012100,-9.888600,CET,PG,15.74,0.030,
VV 549,138.901700,-13.631900,HYA,PG,15.50,0.015,
VV 55,204.981000,0.835650,VIR,PG,13.36,0.022,Arp 240
VV 550,237.321700,21.828300,SER,PG,14.67,0.028,
VV 551,103.081700,63.090600,CAM,PG,15.60,0.018,7Zw105
VV 552a,110.465800,46.844200,LYN,PG,15.00,0.025,
VV 552b,166.243700,30.026900,LMI,PG,14.70,0.020,Arp 21
VV 553,143.317900,23.135000,LEO,PG,14.97,0.018,
VV 554,12.861700,40.724700,AND,PG,15.30,0.025,
VV 555,67.544600,6.938900,TAU,PG,14.60,0.050,
VV 556,268.885800,18.925300,HER,PG,15.00,0.028,
VV 557,214.680800,21.818100,BOO,PG,14.80,0.028,
VV 558,194.664600,14.217200,VIR,PG,14.68,0.028,
